spring number,spring location,spring name,long,lat,type,well_depth,flow_rate_mean,flow_rate_min,flow_rate_max,temp_mean,temp_min,temp_max,reference,reference_DOI,reference_link,EC,pH,sample_temperature,TDS,TDS_min,TDS_max,Na,Ca,Mg,K,NH4,Cl,F,SO4,HCO3,CO3,NO3,Si,Li,SiO2,reference_hydrochemistry,doi_hydrochemistry,reference_link_hydrochemistry,delta_18O,delta_2H,3H,delta_14C,delta_13C,4He,3He,reference_isotope_data,DOI_isotope_data,reference_link_isotope_data
552,Mitterbach,Mitterbach 1,14.873531,47.20071,borehole,3062,,,,48,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,Urmannsau,Urmannsau I,15.13707,47.926444,borehole,3033,,,,40,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,Unterlaussa ,Unterlaussa,14.571443,47.716979,borehole,2889,,,,46,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,Molln,Molln 1,14.255821,47.882004,borehole,5618,,,,121,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,Grünau,Grünau 1,13.956158,47.853208,borehole,5209.4,,,,59,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,Vordersee,Vordersee 1,13.242231,47.758814,borehole,4262,,,,31,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,Vorderriß,Vorderriß 1,11.438904,47.515825,borehole,6468,,,,140,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,Hindelang,Hindelang,10.442689,47.51577,borehole,5653.6,,,,,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,Vorarlberg-Au,Vorarlberg-Au 1,9.985296,47.319134,borehole,4302,,,,131,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,Sulzberg,Sulzberg 1,10.348719,47.659976,borehole,5617,,,,,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,Dornbirn,Dornbirn 1 ,9.765882,47.397026,borehole,2920.6,,,,,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,Aflenz,Groisenbach 1,15.239729,47.543055,borehole,1111,,,,,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,Aflenz,Aflenz Thermal 1(Dörflach),15.239729,47.543055,borehole,1891,0.005,,,,25,27,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,Wildalpen,Casariquellen,14.986191,47.66422,spring,,0.001,,,17.5,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,0.0625,7.47,,480.95,,,11.1,76.2,29.5,1.1,n/a,16.7,0.22,153.3,191.77,n/a,n/a,n/a,0.0075,n/a,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,
566,Gams bei Hieflau,Schwefelquelle,14.783171,47.668206,spring,,0.01,,,24,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,0.0407,7.64,,322.29,,,14.6,61.9,7.3,0.8,n/a,17.8,0.19,36.2,183.17,n/a,n/a,n/a,0.0029,n/a,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,
567,Steeg am Hallstättersee,Steeg Warmes Wasser,13.629066,47.611275,spring,,0.0022,,,,18,19,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,0.0696,18.9,,423.11,,,83,39.2,11,2,n/a,127.7,0.26,53,106.43,n/a,n/a,n/a,0.0114,n/a,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,
568,Steeg am Hallstättersee,Bohrlochquelle,13.629066,47.611275,borehole,1330,,,,,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,2.69,n/a,,19825.53,,,n/a,589.15,209.15,n/a,3,9575,n/a,2728,183,n/a,n/a,n/a,n/a,n/a,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,
569,Bad Goisern,Marie-Valerie Quelle,13.61465,47.646205,borehole,656.7,0.001,,,18.8,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,0.1025,8.26,,667.03,,,210,6.4,4.6,5.9,0.15,165,8.9,93,167,n/a,n/a,n/a,0.0683,n/a,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,
570,Leopoldskron-Obermoos,Obermoos Thermal 1,10.941519,47.42586,borehole,2469,0.0002,,,12.6,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,3.788,n/a,,29701.55,,,n/a,949.9,179.6,n/a,n/a,15556.8,n/a,2770.1,256.3,n/a,n/a,n/a,n/a,n/a,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,
571,St. Martin bei Lofer,Saalachtal Thermal 1,12.700123,47.566954,borehole,2236,0.00749,,,31.7,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,0.2719,7.17,,3032.28,,,18,597,173,n/a,1.5,13.9,3.5,2.085,87.9,n/a,n/a,n/a,0.05,21.61538462,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,-17.05,-95.4,0.36,,,,,,,
572,Bad Häring,Schwefelquelle (Niederholz1),12.117442,47.510362,spring,,0.001,,,14.5,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,0.129,8.25,,998.9,,,210,67,32,6.5,0.36,360,1.2,85,210,n/a,n/a,n/a,0.066,20,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,-14.6,-102.4,0.8,,,,,,,
573,Kramsach,Thermal 1 ,11.877698,47.444715,borehole,1654,0.00935,,,36,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,0.596,7.25,,3556.04,,,880,249.6,105,17.2,0.63,1782.2,<0.1,284.4,217.2,n/a,n/a,n/a,n/a,n/a,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,
574,Payerbach,Thermal 1,15.868117,47.692751,borehole,2700,0.00095,,,28.4,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,0.472,7.35,,4646.9,,,336.2,642.4,259.5,34.9,0.95,35.7,3.05,3045.3,221.9,n/a,n/a,n/a,0.47,n/a,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,
575,Mürztal,Thermal 1,15.533896,47.546401,borehole,1620,0.012,,,46,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,0.655,6.37,,5367.59,,,526,751,195,63.7,1.2,697,3.1,2267,775.4,n/a,n/a,n/a,n/a,n/a,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,
576,Wolkersdorf im Lavantal,,14.850369,46.785532,gallery,,,,,,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,n/a,8,,1598.57,,,539.1,7.55,7.1,n/a,9.5,354.2,n/a,9,671,n/a,n/a,n/a,n/a,n/a,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,
577,St. Kanzian,Thermal 1,14.576037,46.614246,borehole,1700,,,,,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,n/a,n/a,,23304.88,,,7400,69,58,200,<0.05,8900,7,14,6602,n/a,n/a,n/a,10,n/a,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,
578,Karawanken-Straßentunnel,KT2930,14.023092,46.519396,gallery,,,,,,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,n/a,n/a,,259.71,,,0.82,35.77,19.28,0.34,n/a,0.54,n/a,26,176.96,n/a,n/a,n/a,n/a,n/a,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,
579,Bad Kleinkirchheim,Bohrlochbrunnen,13.782635,46.816876,borehole,200,0.001,,,31,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,0.0255,7.88,,218.07,,,2.9,31,12,0.98,n/a,2,1.034,27,123,n/a,n/a,n/a,0.004,n/a,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,
580,Bad Kleinkirchheim,Gewinnungsbrunnen ,13.782635,46.816876,well,127,0.0105,,,36.5,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,0.0309,7.65,,286.98,,,5.1,40.68,14.96,1.65,<0.01,4.1,0.6,52.95,137.3,n/a,n/a,n/a,n/a,n/a,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,
581,Bad Kleinkirchheim,Kirchenquellen,13.782635,46.816876,spring,,0.0078,,,22.9,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,0.0265,7.95,,250.75,,,3.2,35.5,13.4,1.48,n/a,2.08,0.16,29.7,142.2,n/a,n/a,n/a,n/a,n/a,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,
582,St. Jakob in Defereggen,St. Jakob Thermal 1,12.326083,46.915667,borehole,1882,0.0008,,,24,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,3.41,8.14,,19726.25,,,6860,561,104,66.1,n/a,11850,0.83,34.5,37.3,n/a,n/a,n/a,11.9,n/a,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,-10.3,-43.3,1.1,,,,,,,
583,Lichtensteinklamm,Arlquelle,13.191587,47.311421,spring,,0.06,,,15.2,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,0.0532,7.29,,423.7,,,25.3,75.2,7.7,2.3,<0.02,25.9,n/a,39.3,248,n/a,n/a,n/a,n/a,n/a,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,
584,Lend,Lend-Embach,13.04255,47.2997,borehole,737,0.005,,,32.7,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,0.0433,7.35,,404.03,,,18.2,70.6,11.7,1.37,<0.02,7.55,1.86,70.4,210,n/a,n/a,n/a,0.077,n/a,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,
585,Aspern,Eßling Thermal 1,16.48902,48.215945,borehole,4180,,,,,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,Gersdorf an der Mur,Gersdorf Thermal 1 ,15.641247,46.14602,borehole,2420,,,,115,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,Gröbming,Thermal 1,13.902409,47.443694,borehole,1735,,,,32,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,Radstadt,,13.465265,47.386514,borehole,1581,,,,40,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,0.8795,7.9,,,,,,,,,1.96,3120,,150,,,,,,,,,,,,,,,,,,,
589,Altenmark im Pongau,Thermal 1,13.408199,47.381514,borehole,2310,0.0001,,,,18,25,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,Gollingen,Thermal 1,13.154761,47.594753,borehole,2056,,,,,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,Sölden,Thermal 1,11.008018,46.965009,borehole,1165.4,0.0003,,,16.7,,,"Elster, D., Goldbrunner, J., Wessely, G., Niederbacher, P., Schubert, G., Berka, R., Philippitsch, R. & Hörhan, T. (2016): Erläuterungen zur geologischen Themenkarte Thermalwässer in Österreich 1:500.000. – 296 S., Wien.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,Edelstal,Römerquelle 1,16.997172,48.093071,borehole,22.7,0.004,,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,"Elster, D., Fischer, L., Hann, S., Goldbrunner, J., Schubert, G., Berka, R., Hobiger, G., Legerer, P. & Philippitsch, R. (2018): Österreichs Mineral- und Heilwässer. -448 S., Geologische Bundesanstalt, Wien",,https://opac.geologie.ac.at/wwwopacx/wwwopac.ashx?command=getcontent&server=images&value=mineral_heilwaesser.pdf,,,,,,,,,,
593,Edelstal,Römerquelle 11,16.994863,48.095013,borehole,,,,,14.4,,,,,,0.117,7.29,,,,,20.3,147,72.4,2.7,<0.02,25,0.36,315,427,< 3,4.7,n/a,0.028,17.76721406,"Elster, D., Fischer, L., Hann, S., Goldbrunner, J., Schubert, G., Berka, R., Hobiger, G., Legerer, P. & Philippitsch, R. (2018): Österreichs Mineral- und Heilwässer. -448 S., Geologische Bundesanstalt, Wien",,https://opac.geologie.ac.at/wwwopacx/wwwopac.ashx?command=getcontent&server=images&value=mineral_heilwaesser.pdf,,,,,,,,,,
594,Edelstal,Römerquelle 13,16.994863,48.095013,borehole,45.7,,,,n/a,,,,,,,,,,,,13.8,153.2,65.6,1.5,n/a,7.6,0.3,323,419,n/a,0.5,n/a,0.025,24.082397,"Elster, D., Fischer, L., Hann, S., Goldbrunner, J., Schubert, G., Berka, R., Hobiger, G., Legerer, P. & Philippitsch, R. (2018): Österreichs Mineral- und Heilwässer. -448 S., Geologische Bundesanstalt, Wien",,https://opac.geologie.ac.at/wwwopacx/wwwopac.ashx?command=getcontent&server=images&value=mineral_heilwaesser.pdf,-11.32,-80.8,1.5,,,,,,,
595,Edelstal,Römerquelle 15,16.997172,48.093071,borehole,50.7,0.01,,,15,,,,,,0.11,7.25,,,,,12.3,142,70.2,2.1,<0.02,8.3,0.35,318,412,< 3,0.002,n/a,0.027,17.3,"Elster, D., Fischer, L., Hann, S., Goldbrunner, J., Schubert, G., Berka, R., Hobiger, G., Legerer, P. & Philippitsch, R. (2018): Österreichs Mineral- und Heilwässer. -448 S., Geologische Bundesanstalt, Wien",,https://opac.geologie.ac.at/wwwopacx/wwwopac.ashx?command=getcontent&server=images&value=mineral_heilwaesser.pdf,,,,,,,,,,
596,Edelstal,Römerquelle 17,16.969147,48.086576,borehole,251.4,0.0085,,,16.5,,,,,,0.102,7.39,,,,,23,126,57.5,2.6,0.19,4.5,0.42,247,426,< 3,< 0.3,n/a,0.029,25.68461538,"Elster, D., Fischer, L., Hann, S., Goldbrunner, J., Schubert, G., Berka, R., Hobiger, G., Legerer, P. & Philippitsch, R. (2018): Österreichs Mineral- und Heilwässer. -448 S., Geologische Bundesanstalt, Wien",,https://opac.geologie.ac.at/wwwopacx/wwwopac.ashx?command=getcontent&server=images&value=mineral_heilwaesser.pdf,,,,,,,,,,
597,Edelstal,BON (RQ 16),16.986162,48.097005,borehole,136.6,0.004,,,10.3,,,,,,0.0909,7.38,,,,,9.7,131,47.3,3,<0.02,5,0.28,200,394,< 3,5,n/a,0.046,18.37692308,"Elster, D., Fischer, L., Hann, S., Goldbrunner, J., Schubert, G., Berka, R., Hobiger, G., Legerer, P. & Philippitsch, R. (2018): Österreichs Mineral- und Heilwässer. -448 S., Geologische Bundesanstalt, Wien",,https://opac.geologie.ac.at/wwwopacx/wwwopac.ashx?command=getcontent&server=images&value=mineral_heilwaesser.pdf,,,,,,,,,,
598,Pamhagen,Pannonia,16.883959,47.738643,borehole,612,0.0032,,,33.3,,,,,,0.602,6.9,,,,,1486.77,36.1,39.74,41.57,18.4,439.78,2.22,< 0.5,3608.5,n/a,4.3,n/a,0.267,61.99230769,"Elster, D., Fischer, L., Hann, S., Goldbrunner, J., Schubert, G., Berka, R., Hobiger, G., Legerer, P. & Philippitsch, R. (2018): Österreichs Mineral- und Heilwässer. -448 S., Geologische Bundesanstalt, Wien",,https://opac.geologie.ac.at/wwwopacx/wwwopac.ashx?command=getcontent&server=images&value=mineral_heilwaesser.pdf,,,2,,,,,,,
599,Frauenkirchen,"Seewinkel Thermal, Thermal 1",16.936496,47.805644,borehole,1087,0.006,,,43,,,,,,0.1375,7.9,,,,,320,7.6,4.5,4.2,4.9,117,0.68,0.5,701,0.004,< 0.5,n/a,0.049,23.69057908,"Elster, D., Fischer, L., Hann, S., Goldbrunner, J., Schubert, G., Berka, R., Hobiger, G., Legerer, P. & Philippitsch, R. (2018): Österreichs Mineral- und Heilwässer. -448 S., Geologische Bundesanstalt, Wien",,https://opac.geologie.ac.at/wwwopacx/wwwopac.ashx?command=getcontent&server=images&value=mineral_heilwaesser.pdf,-12.26,-91.29,,,,,,,,
